"year","month","fleet","sex","partition","input_n","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
2004,"7",1,3,2,83,0,0,0,0,6.6884,34332.2026,34396.4613,190018.2001,892420.7399,522510.5958,1460606.3827,2041062.8644,4191444.6054,6746927.6411,8688463.7857,7113955.9568,4015676.8016,1592433.3034,62068.7297,0,0,0,0,0,34871.0595,126780.71,18914.1267,88091.8769,1664571.6622,3669477.3392,9375402.2113,14091146.6421,7534106.1369,4157129.2128,708321.4536,576010.1338,34426.8278,0
2005,"7",1,3,2,61,0,0,0,0,0,0,70.1635,101.9738,1490355.4969,1697295.6627,3110066.9314,3784855.5116,3351446.4062,5547845.5333,5921538.4791,9149989.3139,5893427.037,1552924.025,730364.6067,0,0,0,0,0,395.5227,0,280916.353,1124135.2582,3905622.8981,3389280.9778,7942820.4272,11716437.9403,8293115.7914,2959081.0964,1039977.9618,33629.563,280846.1895,0
2006,"7",1,3,2,68,0,0,0,0,0,0,435.6802,1432844.4932,598023.9367,1488875.4402,1332549.5362,587035.7206,1519791.3097,1824491.3452,3690448.182,5700261.9981,2113045.4356,337907.898,295540.8425,0,0,0,0,0,280854.3347,562119.914,884204.8515,884550.5542,528918.3603,1052740.2473,3914004.7559,6259940.8849,2835788.4826,1110272.2092,149233.7163,83020.2839,14694.653,101.7898
2007,"7",1,3,2,122,0,0,0,0,0,0,171942.6821,131743.4199,623929.4696,469677.2874,827296.1839,1122223.0222,1746253.2304,2280928.185,3066647.3764,3141722.135,1166222.3814,441945.3535,36256.1159,0,0,0,0,70610.2423,13701.8859,185718.7192,243950.6262,945977.3475,1016649.0157,1557760.6355,3664690.5838,2303477.0892,2392894.3912,1779060.5502,437897.1981,17147.7078,208263.6895,42719.4029
2008,"7",1,3,2,74,0,0,0,0,64989.1899,194998.986,65030.6506,276514.5303,659394.0063,1751926.0097,1628710.1421,881796.9535,2310475.1201,2138283.3815,2083592.1607,2730626.8248,695799.7275,178103.4417,3035.3967,0,0,0,0,64989.1899,259964.4122,130009.7961,456983.901,426208.8081,1376445.5808,1335884.6097,2890711.6966,3447523.8985,2224804.4415,403107.0766,34431.9255,14524.3062,0,6657.0094
2009,"7",1,3,2,90,0,0,0,0,4.0423,3.4359,3.4359,7.4782,226991.279,352519.1739,1080128.1876,3033487.8867,3546519.852,7769109.0732,5890062.1908,6237232.1159,2362204.1693,259196.8917,62.5928,0,0,0,0,0,0,0,0,3.4359,384391.8935,2746464.0801,5253846.6969,8446508.516,5480414.6013,1866047.4788,289867.2492,79681.0452,0,0
2010,"7",1,3,2,102,0,0,0,0,2.2883,0,6.8648,2.2883,18.7085,21.2523,200751.2929,1469398.0573,2317398.5158,2576231.5809,6080040.0635,5074308.9303,2149603.1392,95040.4962,93981.8832,0,0,0,0,0,0,2.3907,2.3907,308.1328,91.0311,735019.802,2738251.0672,6136362.5402,3635319.3875,911413.8128,92016.1642,47.0111,2215.176,47.0111
2011,"7",1,3,2,138,0,0,0,0,0,28.7704,200.487,61.806,43292.9697,98927.2409,1341969.2279,1581130.1554,4572808.9514,8635049.9814,6128807.4263,9458821.648,5335993.4982,924385.9662,267340.5796,0,0,0,0,0,6.538,13.076,55.787,348.7521,971235.7855,934699.3756,5390951.921,14271350.7025,10071867.9829,2711715.7333,670688.6416,268.6515,0,223437.6968
2012,"7",1,3,2,142,0,0,0,0,17.9738,17.8988,15.6198,434.904,71979.3255,159085.6247,914151.3803,689754.8994,3190740.6951,6472913.876,11530923.1178,11110440.8256,6087947.116,1226507.7001,228820.4455,0,0,0,0,15.3582,28.6408,24.9253,438.6962,411.0255,632469.4657,1558916.1909,6641690.4236,19740499.0433,20313336.569,5414201.2338,683293.9408,239170.8307,2.4586,0
2013,"7",1,3,2,131,0,0,0,0,25.9131,8.1077,29.7637,131.0657,144044.1658,38667.6465,603828.3213,628484.5404,3794222.3458,3078987.4577,5678637.3299,7004778.4709,3949844.6746,2161011.9443,209609.6599,0,0,0,0,3.0687,2.5841,38251.0811,2233.3532,144034.1565,218998.5543,1514316.9719,4192784.8667,15602389.3064,10264602.7576,3256563.9421,280309.7668,0,0,0
2014,"7",1,3,2,188,0,0,0,5.8756,17.1309,10.0108,57.4182,218775.6744,312187.9284,433785.8422,581270.7749,523604.2446,1907291.5558,2392064.2642,3411179.0071,3987496.1994,2903867.7912,1131407.9814,217373.7501,0,0,0,0,16.6847,98.5033,5181.8293,6604.3527,408388.5293,427220.8534,1197094.2002,3060702.5197,6367432.0147,8017012.4798,2737561.392,333613.9926,120732.4563,7607.5954,0
2015,"7",1,3,2,176,0,0,0,2.3363,2.8369,7.3732,2281.9255,65.1349,2324.4701,123761.2725,273422.9125,274493.0228,379222.8998,2701076.1528,3608637.8267,4221127.2181,2916473.0863,1384564.9852,155869.3507,0,0,0,0,8.0724,2.5189,15.36,4662.8824,112866.6912,40636.9413,1022480.7852,2127181.2268,4984360.8884,8460462.3565,3979119.3301,240918.2983,11471.7787,0,0
2016,"7",1,3,2,188,0,0,0,0,2.0083,17.7613,157173.6835,432468.6299,748677.6238,2202407.7092,1158626.4532,1991355.2113,2556298.4012,4584507.7014,4504538.9819,4809239.6666,2851696.5691,802120.702,274616.662,0,0,0,0,4.0166,7.2297,78.7609,780172.4306,474864.781,2974729.5799,4134453.9615,7063230.1175,9989707.3421,7119586.0257,2753795.9543,134482.9342,4079.1876,93.0859,0
2017,"7",1,3,2,269,0,0,0,0,26.1707,26430.2741,76735.1779,512070.385,1762118.8498,2718241.783,6521746.3134,6605213.9905,9134153.8407,8844599.1261,6909538.5409,5013055.5755,2176458.1165,752823.2632,214166.9808,0,0,0,749.3315,1079.8568,307.703,205448.3284,390563.4046,1815556.8798,4154126.801,8514902.2163,13633593.4076,14162724.9307,15411769.7422,5919908.7603,556271.8521,0,180542.8238,203755.013
2018,"7",1,3,2,280,0,0,0,0,291.54,10864.3783,10973.6737,281718.1453,497102.3231,313388.222,3355960.4982,5516703.0414,7663463.7879,12885707.5377,8566617.2461,8277146.3106,4136138.3866,1293231.0012,222717.9793,0,0,0,0,9.2779,0,4.0571,281134.4523,785640.6021,3657535.7558,4877856.8361,9201864.6008,14331527.8153,15610411.0012,5036218.3595,408300.3869,0,0,0
2019,"7",1,3,2,288,0,0,0,0,4.0743,14.4299,197826.3275,640954.1771,1725901.0912,2090942.6698,5139251.8016,7715085.9556,9017141.7872,8895091.2607,10958732.3496,5113977.507,1790861.9388,1345461.0389,651981.4109,0,0,0,1512.3303,0,1927.4517,561704.781,1047197.6248,2094157.021,2864988.4588,7980432.9836,12819957.2297,13626375.5927,9635011.0085,3569756.4272,852828.8681,280846.1895,293450.1374,0
2020,"7",1,3,2,158,0,0,0,17.6617,17.6617,40.2308,27.7613,6817.4369,290284.0213,15162.7982,1175221.4642,899513.1813,699193.4501,1015034.5448,2429973.5353,965691.6416,62630.972,19943.172,1189.9739,0,0,0,39.74,0,330.6618,3959.069,6067.6739,19974.2562,32025.9751,1188468.9097,3817331.4972,2405950.6661,1770949.9801,35412.7963,390.1092,0,2379.9477,0
2021,"7",1,3,2,207,0,0,0,0,77.4203,15198.5175,29706.3218,471270.6403,492303.0608,752158.3289,608797.5852,1059712.9142,3984355.7955,4393199.3565,3868618.1524,1217299.2545,836216.2791,472622.8713,3593.1683,0,0,0,0,0,24288.3406,17414.9258,342766.0063,126414.5628,701021.2916,3069294.4479,3997800.1923,4872383.6393,3058575.1193,692490.5847,11474.2574,36468.0146,0,0
2022,"7",1,3,2,250,0,0,0,12.3095,5.5584,39.2527,85309.5106,419313.8145,2378850.9134,3073971.0128,2461420.4069,5898688.846,5375433.2898,6071683.9934,6693552.1693,3110449.096,1548061.5953,1005422.0279,832.8759,0,0,0,0,7.9132,11.959,75782.064,363545.9761,598666.719,3157615.2932,7073807.2948,9405742.8019,9287366.9774,5793479.3243,1839360.1961,34829.7596,7000.1131,0,0
2023,"7",1,3,2,220,0,0,3.8324,0,5.4602,23.2541,2951.7534,6143.4127,111059.7933,813446.3737,1373203.2791,3261766.7912,3915801.9174,4307252.4924,3450404.3942,1956646.1493,1181604.8882,121780.2729,167.7302,0,0,0,0,0,16.8978,25.806,1159.5127,369280.083,1362740.6665,2396503.0266,4072185.877,2686749.1959,2584416.0259,274165.0242,97860.6754,9718.0463,0,0
